Product_ID,Category,Price,Discount,Stock_Availability,Sales_Quantity,Date,Day_of_Week,Season,Marketing_Spend,Competitor_Price,Weather_Impact,Customer_Age_Group,Customer_Loyalty,High_Demand
1,Dairy,0.25509530607116226,0.8692184025296357,0,588,2021-01-01,0,3,0.24951215697808085,0.29789647655756957,2,60+,0,1
2,Fruits,0.008624606204320144,0.28973946750987856,0,785,2021-01-02,2,1,0.07347132686285102,0.33791790147861833,0,41-60,0,1
3,Fruits,1.435567800943608,0.28973946750987856,1,503,2021-01-03,3,3,-0.8179079283703086,1.6273559798872907,1,60+,1,1
4,Vegetables,0.5877948222179498,0.8692184025296357,1,692,2021-01-04,1,2,1.438016539180439,0.2036661374577458,1,18-25,1,1
5,Snacks,-1.5123798556270078,0.28973946750987856,1,747,2021-01-05,5,0,-1.2380537401103997,-1.4285303878938054,1,26-40,1,1
6,Fruits,1.0613347382886473,0.28973946750987856,1,969,2021-01-06,6,0,0.7376144139771222,0.6011275902450917,2,26-40,1,1
7,Beverages,1.6448163951162742,-0.8692184025296357,1,730,2021-01-07,4,2,0.0963856379790036,1.623403246561755,2,18-25,1,1
8,Snacks,-1.7677608665094449,-0.8692184025296357,1,960,2021-01-08,0,0,-1.2047484878314039,-1.7338790372914359,3,41-60,0,1
9,Dairy,1.0748439195058386,0.28973946750987856,1,652,2021-01-09,2,1,0.23602717941976867,0.6689593174922307,0,60+,1,1
10,Snacks,-0.23181007652292646,1.4486973375493928,0,485,2021-01-10,3,2,-0.46155366190778996,0.08755459602013553,1,18-25,1,0
11,Fruits,-0.6222110422303768,0.28973946750987856,0,468,2021-01-11,1,3,0.9287527159504312,-0.7765411427514303,2,60+,1,0
12,Vegetables,1.4914728168317721,0.8692184025296357,1,747,2021-01-12,5,1,1.1028811789672344,1.2861503924651576,1,18-25,1,1
13,Dairy,-1.5418413678559892,0.28973946750987856,0,40,2021-01-13,6,2,-0.8323018227059522,-1.488456648489873,0,60+,1,0
14,Dairy,0.5765850761015568,1.4486973375493928,0,792,2021-01-14,4,2,0.8672524468114513,0.35556403239618833,0,41-60,0,1
15,Vegetables,-0.08974810170171717,-0.28973946750987856,0,402,2021-01-15,0,2,1.1909972898662817,0.24651094332560564,3,60+,1,0
16,Snacks,-0.3104938713783761,0.8692184025296357,1,337,2021-01-16,2,0,0.9122690104055265,-0.28993143656852105,0,26-40,1,0
17,Beverages,1.2561400057344225,-0.28973946750987856,0,837,2021-01-17,3,2,1.7044701803890983,0.7067220376558305,1,60+,0,1
18,Fruits,1.2662718916473161,-1.4486973375493928,1,657,2021-01-18,1,3,-0.5938789269533596,0.8224100719514191,1,60+,1,1
19,Vegetables,-0.06768789620343131,0.8692184025296357,0,593,2021-01-19,5,3,-1.320537356504398,0.2419229492870376,1,60+,1,1
20,Beverages,-0.03319636969145328,-0.8692184025296357,0,828,2021-01-20,6,1,-1.0743293909633576,0.10710650907680293,1,60+,0,1
21,Vegetables,0.10750031553865688,0.28973946750987856,0,488,2021-01-21,4,1,1.2563253926625657,-0.2572508021091815,3,60+,1,0
22,Vegetables,1.0649994629805448,0.28973946750987856,1,567,2021-01-22,0,1,-1.1205555189985366,1.5432898121959873,1,18-25,0,1
23,Dairy,-0.29260139200028745,-1.4486973375493928,1,824,2021-01-23,2,0,0.23641616170640162,-0.0889772976792343,1,18-25,0,1
24,Dairy,-1.4970023833904178,-1.4486973375493928,0,792,2021-01-24,3,2,0.12286200401876458,-1.49022126158163,3,60+,0,1
