Member,Order,SKU,Created On,Description
M09736,6468572,34993740,41904.94792,Other Sauces
M09736,6468572,15669800,41904.94792,Cashews
M09736,6468572,34989501,41904.94792,Other Dals
M09736,6468572,7572303,41904.94792,Namkeen
M09736,6468572,15669856,41904.94792,Sugar
M09736,6468572,15668478,41904.94792,Banana
M09736,6468572,21409124,41904.94792,Sugar Cubes
M09736,6468572,34938526,41904.94792,Other Sweets
M09736,6468572,15669778,41904.94792,Other Dals
M09736,6468572,34989440,41904.94792,Other Rice Products
M09736,6468572,15669830,41904.94792,Other Rice Products
M09736,6468572,7569799,41904.94792,Namkeen
M09736,6486475,34991046,41910.5875,Utensil Scrub Pads
M09736,6486475,15669830,41910.5875,Other Rice Products
M09736,6486475,15669878,41910.5875,Toor Dal
M09736,6486475,34991191,41910.5875,Buns & Pavs
M09736,6486475,7585573,41910.5875,Cakes
M09736,6486475,34989501,41910.5875,Other Dals
M09736,6486475,15669789,41910.5875,Boiled Rice
M09736,6504964,15669767,41896.9625,Urad Dal
M09736,6504964,15669789,41896.9625,Boiled Rice
M09736,6504964,15669814,41896.9625,Jaggery
M09736,6504964,15669778,41896.9625,Other Dals
M09736,6504964,15669865,41896.9625,Other Dals
M09736,6504964,15669965,41896.9625,Raisins
M09736,6504964,34934493,41896.9625,Chips
M09736,6504964,34989501,41896.9625,Other Dals
M09736,6504964,15669811,41896.9625,Almonds
M09736,6529569,15669780,09-04-2014 22:56,Sugar
M09736,6529569,15669814,09-04-2014 22:56,Jaggery
M09736,6529569,15668465,09-04-2014 22:56,Root Vegetables
M09736,6529569,7585573,09-04-2014 22:56,Cakes
M09736,6529569,15669767,09-04-2014 22:56,Urad Dal
M09736,6529569,7572303,09-04-2014 22:56,Namkeen
M09736,6529569,15668381,09-04-2014 22:56,Other Vegetables
M09736,6529569,15669869,09-04-2014 22:56,Moong Dal
M09736,6529569,15668478,09-04-2014 22:56,Banana
M09736,6529569,15669865,09-04-2014 22:56,Other Dals
M09736,6529569,15669965,09-04-2014 22:56,Raisins
M09736,6529569,15669878,09-04-2014 22:56,Toor Dal
M09736,6529569,15669800,09-04-2014 22:56,Cashews
M09736,6529569,15669804,09-04-2014 22:56,Cashews
M09736,6529569,92388181,09-04-2014 22:56,Healthy Snacks
M09736,6549521,15668478,09-09-2014 23:10,Banana
M09736,6549521,15669800,09-09-2014 23:10,Cashews
M09736,6549521,34989440,09-09-2014 23:10,Other Rice Products
M09736,6549521,15669972,09-09-2014 23:10,Cashews
M09736,6549521,15669803,09-09-2014 23:10,Cashews
M09736,6549521,15669861,09-09-2014 23:10,Raw Peanuts
M09736,6549521,21409124,09-09-2014 23:10,Sugar Cubes
M09736,6562518,15669830,41877.95486,Other Rice Products
M09736,6562518,21409002,41877.95486,Moong Dal
M09736,6562518,34993978,41877.95486,Mosquito Repellent
M09736,6562518,34989440,41877.95486,Other Rice Products
M09736,6562518,15669789,41877.95486,Boiled Rice
M09736,6562518,15669778,41877.95486,Other Dals
M09736,6562518,15669884,41877.95486,Whole Spices
M09736,6562518,15669856,41877.95486,Sugar
M09736,6562518,21409124,41877.95486,Sugar Cubes
M09736,6562518,29247229,41877.95486,Whole Spices
M09736,6562518,15669777,41877.95486,Urad Dal
M09736,6562518,29247171,41877.95486,Whole Spices
M09736,6562518,34989441,41877.95486,Soya Products
M09736,6562518,15668467,41877.95486,Beans
M09736,6562518,34989501,41877.95486,Other Dals
M09736,6562518,15668379,41877.95486,Other Vegetables
M09736,6596905,21409002,41868.95139,Moong Dal
M09736,6596905,7572303,41868.95139,Namkeen
M09736,6596905,15668685,41868.95139,Beans
M09736,6596905,7753739,41868.95139,Health Drinks
M09736,6596905,15668478,41868.95139,Banana
M09736,6596905,7623116,41868.95139,Liquid Soaps & Bars
M09736,6596905,21409124,41868.95139,Sugar Cubes
M09736,6596905,15669859,41868.95139,Toor Dal
M09736,6596905,92436826,41868.95139,Washing Bars
M09736,6596905,15668377,41868.95139,Root Vegetables
M09736,6596905,15669865,41868.95139,Other Dals
M09736,6596905,15669789,41868.95139,Boiled Rice
M09736,6596905,15669790,41868.95139,Other Rice Products
M09736,6596905,34989440,41868.95139,Other Rice Products
M09736,6612806,34994208,41873.80694,Chips
M09736,6612806,7572303,41873.80694,Namkeen
M09736,6612806,7561691,41873.80694,Namkeen
M09736,6612806,15668375,41873.80694,Root Vegetables
M09736,6612806,15669856,41873.80694,Sugar
M09736,6612806,7569799,41873.80694,Namkeen
M09736,6612806,7624788,41873.80694,Ghee
M09736,6612806,15668478,41873.80694,Banana
M09736,6612806,92388181,41873.80694,Healthy Snacks
M09736,6624000,15670245,08-06-2014 08:14,Organic F&V
M09736,6624000,7580802,08-06-2014 08:14,Sunflower Oils
M09736,6624000,34989440,08-06-2014 08:14,Other Rice Products
M09736,6624000,7572303,08-06-2014 08:14,Namkeen
M09736,6624000,15668478,08-06-2014 08:14,Banana
M09736,6624000,21409124,08-06-2014 08:14,Sugar Cubes
M09736,6638454,15669830,08-10-2014 09:40,Other Rice Products
M09736,6638454,7572303,08-10-2014 09:40,Namkeen
M09736,6638454,15668688,08-10-2014 09:40,Root Vegetables
M09736,6638454,15668685,08-10-2014 09:40,Beans
M09736,6638454,15669856,08-10-2014 09:40,Sugar
M09736,6638454,15669789,08-10-2014 09:40,Boiled Rice
M09736,6638454,15668478,08-10-2014 09:40,Banana
M09736,6638454,15669767,08-10-2014 09:40,Urad Dal
M09736,6656240,15669965,41848.76458,Raisins
